V1,V2
-79.7671814,42.2613678
-79.54946136,42.35877228
-79.34892273,42.49054718
-79.12547302,42.57649231
-79.05671692,42.65670776
-79.02233887,42.71400452
-78.87337494,42.7598381
-78.85617828,42.811409
-78.90201569,42.90307999
-78.90201569,42.9431839
-78.94785309,42.9661026
-78.97650146,42.94891739
-78.98223114,42.97183609
-79.01660919,42.99475479
-79.01087952,43.05204773
-79.02806854,43.08069611
-79.05671692,43.09215546
-79.03952789,43.13226318
-79.01660919,43.14944839
-79.01087952,43.28123093
-78.46083832,43.36144638
-78.0082016,43.36144638
-77.75610352,43.332798
-77.59567261,43.24685669
-77.55556488,43.24685669
-77.53837585,43.22393799
-77.48680878,43.2640419
-77.31492615,43.29269028
-77.00552368,43.28123093
-76.97688293,43.25258255
-76.91384888,43.29841995
-76.81645203,43.3098793
-76.74769592,43.33852768
-76.7075882,43.32706833
-76.66175842,43.39009476
-76.63883209,43.40728378
-76.57581329,43.44739151
-76.51851654,43.44739151
-76.49559784,43.47603989
-76.44976044,43.52187347
-76.28359985,43.51041412
-76.23203278,43.5619812
-76.21484375,43.68230057
-76.24349976,43.7682457
-76.30651855,43.8370018
-76.27787018,43.87710953
-76.2091217,43.8599205
-76.1632843,43.9057579
-76.15755463,43.94586563
-76.21484375,43.97451019
-76.15182495,44.01461792
-76.2263031,44.05472183
-76.26068115,44.03180313
-76.23776245,44.00888824
-76.24349976,43.97451019
-76.26641083,43.95732117
-76.30078888,43.96878433
-76.32370758,44.05472183
-76.37527466,44.08337402
-76.36954498,44.1120224
-76.04296112,44.25526047
-75.82523346,44.39276886
-75.77939606,44.47871399
-75.79086304,44.49590302
-75.75075531,44.54174042
-75.28665161,44.85686493
-75.09185028,44.93135071
-75.00590515,44.97145844
-74.8397522,45.01156616
-74.74234009,44.99437714
-73.36151886,45.01156616
-73.36151886,45.01156616
-73.34432983,44.94281006
-73.39016724,44.86832428
-73.39016724,44.83395004
-73.36151886,44.78238297
-73.38442993,44.61049271
-73.37297058,44.54746628
-73.32141113,44.42142105
-73.32714081,44.27244949
-73.34432983,44.23234177
-73.41307831,44.16931534
-73.45318604,44.066185
-73.42453766,44.00888824
-73.41307831,43.93440247
-73.39016724,43.8140831
-73.36724854,43.77397537
-73.37297058,43.745327
-73.43026733,43.65365601
-73.42453766,43.57916641
-73.40162659,43.56771088
-73.34432983,43.62500381
-73.32141113,43.61927795
-73.2583847,43.54479218
-73.27557373,43.16091156
-73.28130341,42.74265289
-73.49902344,42.04937363
-73.50475311,42.09521103
-73.49902344,42.04937363
-73.56204987,41.30452728
-73.49902344,41.21858215
-73.72248077,41.10971832
-73.6709137,41.02378082
-73.6709137,41.02378082
-73.69955444,40.95502472
-73.7625885,40.89772797
-73.8256073,40.86907959
-73.81988525,40.82324219
-73.90582275,40.84616089
-73.89437103,40.80605316
-73.9172821,40.90345764
-74.72515869,41.36755371
-74.76526642,41.43058014
-74.85693359,41.43058014
-75.00017548,41.49933624
-75.06893158,41.60819244
-75.05174255,41.73997498
-75.11476898,41.7800827
-75.12622833,41.83164597
-75.17779541,41.85456467
-75.22935486,41.86029816
-75.26946259,41.88321686
-75.28665161,41.9405098
-75.35540771,42.00353622
-79.75572205,42.00353622
-79.7671814,42.2613678
